API_NUMBER,qi,di,b,sqrt_error,skipped_days,TimeStamp
5123419500000,405.25018,0.00356,0.27462,17.73595695,72,2/11/2019 20:16
5123420570000,471.91138,0.00864,0.77338,15.32409243,39,2/11/2019 20:16
5123420630000,4586.44334,1,1.30145,43.76187005,23,2/11/2019 20:17
5123422360000,597.28958,0.008,1.2645,10.00554705,70,2/11/2019 20:18
5123422530000,563.48258,0.02054,0.6531,19.52324585,0,2/11/2019 20:18
5123422600000,540.96938,0.02217,0.84869,24.92606405,95,2/11/2019 20:19
5123423050000,704.66467,0.0137,0.75402,12.7446082,49,2/11/2019 20:20
5123423220000,381.67983,0.02878,1.05212,13.05886864,7,2/11/2019 20:22
5123424240000,1006.22257,0.02183,0.76172,40.92205935,67,2/11/2019 20:24
5123426110000,550,0.00574,0.22581,62.66643037,61,2/11/2019 20:28
5123320810100,263.3192,0.04451,0.85252,6.737557601,0,2/11/2019 20:28
5123321560000,157.87409,0.01451,1.0274,4.16026797,0,2/11/2019 20:29
5087081590100,220,0.01932,1.07873,15.21587084,0,2/11/2019 20:29
5123426120000,604.48444,0.01211,0.63048,30.02576386,73,2/11/2019 20:31
5123426140000,608.39962,0.00986,0.99879,26.23159603,82,2/11/2019 20:32
5123426280000,424.5104,0.01754,2,17.52983842,100,2/11/2019 20:33
5123428120000,952.23822,0.0037,0.001,38.99908735,55,2/11/2019 20:55
5123428150000,642.0885,0.0093,0.33381,31.50109417,75,2/11/2019 20:55
5123428840000,961.43629,0.00583,0.24929,74.37579996,0,2/11/2019 20:57
5123389810000,550.91605,0.00222,0.27046,44.22684282,75,2/11/2019 21:59
5123390420000,300.9337,0.01421,1.64452,22.81507868,75,2/11/2019 21:59
5123391020000,501.33667,0.01876,0.88873,18.07777712,51,2/11/2019 22:01
5123391290000,347.36528,0.00779,0.77745,9.433273987,35,2/11/2019 22:02
5123391390000,205.57763,0.00514,0.88922,9.074507397,55,2/11/2019 22:03
5123391500000,565.96454,0.01127,0.85784,20.01920452,25,2/11/2019 22:03
5123391890000,239.73287,0.00248,0.17581,29.02825677,25,2/11/2019 22:04
5123392540000,418.10536,0.0039,0.19736,27.2280425,0,2/11/2019 22:04
5123392920000,701.73302,0.00204,0.001,133.3374482,160,2/11/2019 22:04
5123393360000,223.61723,0.00407,0.28593,20.4937515,28,2/11/2019 22:05
5123393590000,495.58424,0.03293,1.16204,10.14309496,28,2/11/2019 22:05
5123393750000,367.76004,0.00497,0.72054,17.623721,56,2/11/2019 22:05
5123393940000,391.37823,0.01068,0.75343,9.832354066,35,2/11/2019 22:06
5123393950000,306.88542,0.00639,0.535,8.53115861,40,2/11/2019 22:07
5123390420000,301.70382,0.00834,1.12641,22.23564657,39,2/11/2019 22:10
5123391020000,544.28677,0.01161,0.62061,38.87285286,0,2/11/2019 22:11
5123391290000,317.01431,0.00519,0.55671,16.72090103,3,2/11/2019 22:11
5123391390000,216.82411,0.0059,0.95407,8.714818679,59,2/11/2019 22:12
5123391500000,554.08769,0.01076,0.84232,19.89580042,24,2/11/2019 22:12
5123391890000,243.5612,0.00257,0.20052,29.59289339,27,2/11/2019 22:12
5123392540000,432.63461,0.0043,0.24776,19.07121581,9,2/11/2019 22:12
5123392920000,635.92629,0.00201,0.001,129.0113477,199,2/11/2019 22:12
5123393360000,234.98356,0.00457,0.3537,20.79171463,32,2/11/2019 22:13
5123393590000,440.85877,0.01893,0.96591,18.64850725,0,2/11/2019 22:13
5123393750000,374.70785,0.00527,0.76661,17.38047977,57,2/11/2019 22:13
5123393940000,398.43462,0.01108,0.76531,9.192831354,36,2/11/2019 22:14
5123393950000,306.88542,0.00639,0.535,8.53115861,40,2/11/2019 22:14
5123395020000,242.23108,0.00349,0.51926,11.74841606,15,2/11/2019 22:14
5123395410000,940.83662,0.00783,0.63761,39.12480409,40,2/11/2019 22:14
5123395520000,455.83429,0.00924,0.89128,15.50286785,0,2/11/2019 22:14
5123396180000,444.59222,0.017,1.07155,17.85661156,0,2/11/2019 22:15
5123397150000,110.05371,0.01448,1.12369,46.49885746,37,2/11/2019 22:15
5123397280000,297.46123,0.01099,0.8604,9.458112916,54,2/11/2019 22:15
5123399070000,259.34478,0.00628,0.70254,8.859357587,64,2/11/2019 22:18
5123399760100,65.09899,0.00106,0.001,11.0002985,0,2/11/2019 22:18
5123400150000,417.08126,0.01706,0.7976,15.79444931,0,2/11/2019 22:18
5123400170000,243.00215,0.01207,0.66841,9.090365675,0,2/11/2019 22:18
5123401500000,519.94106,0.00665,0.86265,29.3158474,26,2/11/2019 22:19
5123401790000,412.9312,0.00461,0.49765,10.92623287,41,2/11/2019 22:19
5123402000000,476.8904,0.01247,0.9609,14.80828194,0,2/11/2019 22:19
5123402690000,433.82265,0.00593,0.54199,48.85358139,0,2/11/2019 22:19
5123402780000,93.85251,0.02002,1.75544,4.272844524,14,2/11/2019 22:20
5123402870000,489.60446,0.04674,1.23546,22.95249042,23,2/11/2019 22:20
5123403110000,439.34765,0.00444,0.66254,12.2792769,49,2/11/2019 22:20
5123404260000,547.04984,0.0058,0.001,37.16748078,29,2/11/2019 22:20
5123404290000,505.11063,0.00281,0.46072,67.94804644,19,2/11/2019 22:21
5123405380000,544.46113,0.00331,0.76924,19.94821606,222,2/11/2019 22:21
5123405580000,135.32368,0.00552,0.58757,7.393323446,0,2/11/2019 22:21
5123405890000,366.74804,0.00451,0.18538,14.66987703,46,2/11/2019 22:21
5123418850000,322.29798,0.01186,0.92249,17.80831948,0,2/11/2019 22:22
5123418870000,311.62211,0.00918,0.76985,23.07627043,0,2/11/2019 22:22
5123419030000,352.5933,0.00588,0.11103,17.39256878,52,2/11/2019 22:22
5123419090000,471.40324,0.00773,0.37869,17.65034874,37,2/11/2019 22:22
5123419210000,288.63751,0.00389,0.55889,8.981298262,33,2/11/2019 22:22
5123419270000,454.45584,0.01728,0.83551,17.06875258,0,2/11/2019 22:23
5123419400000,559.90451,0.0086,0.7319,34.08788615,9,2/11/2019 22:23
5123419500000,429.96452,0.00329,0.19141,18.92918944,41,2/11/2019 22:23
5123420570000,446.64949,0.00732,0.65351,17.34294637,37,2/11/2019 22:23
5123420630000,811.28434,0.05259,1.037,89.51456367,0,2/11/2019 22:24
5123422360000,663.61005,0.01174,1.5064,17.42929526,56,2/11/2019 22:24
5123422530000,563.48258,0.02054,0.6531,19.52324585,0,2/11/2019 22:24
5123422600000,555.73839,0.00897,0.31812,34.92691929,33,2/11/2019 22:25
5123423050000,742.68428,0.01124,0.65685,30.76097483,11,2/11/2019 22:25
5123423220000,369.02493,0.02684,1.03519,13.74100002,6,2/11/2019 22:25
5123424240000,1177.23742,0.01629,0.55904,51.5539706,36,2/11/2019 22:25
5123426110000,899.5134,0.03314,1.44229,62.06167018,61,2/11/2019 22:26
5123427480000,330.54844,0,1.98373,62.06167018,0,2/11/2019 22:26
5123320810100,263.3192,0.04451,0.85252,6.737557601,0,2/11/2019 22:26
5123321560000,157.87409,0.01451,1.0274,4.16026797,0,2/11/2019 22:26
5087081590100,184.2075,0.013,0.97123,16.01183711,0,2/11/2019 22:27
5123426120000,666.48496,0.00884,0.32863,33.36585375,44,2/11/2019 22:27
5123426140000,625.50067,0.00633,0.49309,30.97509762,51,2/11/2019 22:27
5123426280000,582.91662,0.02455,1.80239,28.33625812,67,2/11/2019 22:28
5123428120000,952.23822,0.0037,0.001,38.99908735,55,2/11/2019 22:28
5123428150000,749.67757,0.00584,0.001,45.86092501,13,2/11/2019 22:28
5123428840000,1053.69406,0.00884,0.55353,41.81094889,18,2/11/2019 22:29
5123429050000,392.77473,0.00469,0.0653,27.85879683,0,2/11/2019 22:29
5123429180000,1054.77411,0.00844,0.5247,38.58861318,36,2/11/2019 22:30
5123430030000,662.01388,0.00367,0.001,24.64833116,25,2/11/2019 22:30
5123430040000,579.71658,0.0031,0.001,24.89615868,54,2/11/2019 22:30
5123430140000,432.0899,0.00899,1.39898,13.91599977,0,2/11/2019 22:30
5123431320000,386.34219,0.01236,0.76672,25.5091309,18,2/11/2019 22:31
5123431560000,757.34602,0.00693,0.75347,27.97498371,13,2/11/2019 22:31
5123432060000,390.45891,0.00693,0.09,23.9127546,17,2/11/2019 22:32
5123432070000,187.34415,0.01106,0.57874,11.47729658,16,2/11/2019 22:32
5123432450000,504.55671,0.02231,0.61273,23.74626299,33,2/11/2019 22:32
5069064640000,813.30992,0.00466,0.001,60.55423481,21,2/11/2019 22:33
5069064950000,638.53545,0.00829,0.001,40.03689059,19,2/11/2019 22:34
5005072240000,1976.072,0.06153,1.59276,55.58620916,15,2/11/2019 22:34
5123343700000,491.6934,0.00836,0.90102,30.99151589,0,2/11/2019 22:35
5123344530000,149.28164,0.01113,1.29194,5.378490213,15,2/11/2019 22:35
5123344800000,288.15868,0.00671,0.95474,7.787658252,0,2/11/2019 22:35
5123344840000,196.55274,0.00552,0.8602,8.629299667,0,2/11/2019 22:37
5123345570000,385.04183,0.01154,1.06722,46.92430287,30,2/11/2019 22:37
5123346630000,754.77691,0.02077,0.81004,16.67466212,12,2/11/2019 22:37
5123346840000,133.42653,0.00489,2,63.90190947,0,2/11/2019 22:38
5123346880000,191.74732,0.0096,0.97856,9.167806052,0,2/11/2019 22:38
5123340990000,292.1341,0.01047,0.73167,14.7150754,0,2/11/2019 22:39
5123349250000,153.28483,0.01008,1.07537,9.523365942,0,2/11/2019 22:40
5123349520000,473.79052,0.00953,0.62071,13.64581123,32,2/11/2019 22:40
5123350000000,78.9698,0.01029,1.06774,3.970933463,37,2/11/2019 22:40
5123352010000,152.00711,0.00573,1.38789,4.774156985,0,2/11/2019 22:41
5073063930200,187.57848,0.01071,1.08113,8.121558187,45,2/11/2019 22:42
5123373600000,311.18894,0.00615,0.44871,11.226943,0,2/11/2019 22:43
5123373970000,1029.74839,0.06654,0.84556,37.02356707,0,2/11/2019 22:43
5123374020000,641.6472,0.03019,1.27907,13.7191693,12,2/11/2019 22:43
5123374180000,336.9256,0.01963,1.43232,13.54715834,8,2/11/2019 22:43
5123374230000,258.04242,0.00711,0.78822,12.9820465,0,2/11/2019 22:45
5123375020000,535.56018,0.01494,0.95808,12.61052005,23,2/11/2019 22:45
5123375640000,324.14277,0.0163,1.22908,12.65825985,8,2/11/2019 22:46
5123375680000,332.76378,0.01531,0.89113,8.474405862,12,2/11/2019 22:46
5123375720000,195.56029,0.01335,1.16138,11.68656276,31,2/11/2019 22:46
5123376040000,159.9935,0.01414,0.89115,6.073099655,0,2/11/2019 22:46
5123376420000,415.69854,0.01188,0.70926,12.92808663,0,2/11/2019 22:46
5123376570000,331.86111,0.01168,0.95588,9.442755537,15,2/11/2019 22:47
5123376800000,594.48105,0.01352,0.7606,15.11346957,33,2/11/2019 22:47
5123376810000,586.57158,0.00962,0.72596,14.92007291,31,2/11/2019 22:48
5123377250000,475.7402,0.02187,1.43172,14.262687,9,2/11/2019 22:48
5123377270000,501.12229,0.09809,1.39525,13.627681,8,2/11/2019 22:48
